WMC_CK_25%;Bugged;WMC_CK_max;WMC;WMC_CK_75%;NOCh;NPM;NMI;WMC_CK_50%;WMC_CK_min;NORM;NMIR;WMC_CK_std;WMC_CK_count;WMC_CK_mean;DIT
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
0.0;False;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.5;False;2.0;83.0;2.0;0.0;22.0;0.0;2.0;1.0;0.0;0.0;0.5773502691896257;3.0;1.6666666666666667;1.0
2.0;False;2.0;83.0;2.0;0.0;22.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;2.0;83.0;2.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.5477225575051661;5.0;1.4;1.0
2.0;False;2.0;83.0;2.0;0.0;22.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;2.0;83.0;2.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.5477225575051661;5.0;1.4;1.0
1.0;False;2.0;83.0;1.5;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.5773502691896257;3.0;1.3333333333333333;1.0
1.0;False;2.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.4472135954999579;5.0;1.2;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;2.0;83.0;1.25;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.5;4.0;1.25;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.25;False;2.0;83.0;1.75;0.0;22.0;0.0;1.5;1.0;0.0;0.0;0.7071067811865476;2.0;1.5;1.0
1.25;False;2.0;83.0;1.75;0.0;22.0;0.0;1.5;1.0;0.0;0.0;0.7071067811865476;2.0;1.5;1.0
0.0;False;0.0;83.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
0.0;False;0.0;83.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;False;0.0;83.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.5;False;2.0;83.0;2.0;0.0;22.0;0.0;2.0;1.0;0.0;0.0;0.5773502691896257;3.0;1.6666666666666667;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;83.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.25;False;2.0;83.0;1.75;0.0;22.0;0.0;1.5;1.0;0.0;0.0;0.7071067811865476;2.0;1.5;1.0
1.0;False;9.0;83.0;2.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;1.7038462389644151;52.0;1.8653846153846156;1.0
1.0;False;2.0;83.0;1.5;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.5773502691896257;3.0;1.3333333333333333;1.0
2.0;False;5.0;4.0;4.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;2.8284271247461903;2.0;3.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.25;False;6.0;10.0;4.75;0.0;1.0;0.0;3.5;1.0;0.0;0.0;3.5355339059327378;2.0;3.5;1.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;1.0;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0;1.0;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;18.0;1.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;4.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.8660254037844386;12.0;1.25;0.0
1.0;False;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.4277926319464985;18.0;1.2222222222222223;0.0
0.0;True;0.0;9.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;True;2.0;9.0;1.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.40824829046386296;6.0;1.1666666666666667;1.0
0.0;True;0.0;9.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.5;False;3.0;4.0;2.5;0.0;1.0;0.0;2.0;1.0;0.0;0.0;1.4142135623730951;2.0;2.0;1.0
1.0;True;3.0;12.0;1.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.8944271909999159;5.0;1.4;1.0
1.0;True;3.0;12.0;2.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.8201995322647244;11.0;1.5454545454545454;1.0
1.0;False;1.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;5.0;1.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;1.0
1.0;False;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;5.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;1.0
1.0;True;1.0;23.0;1.0;0.0;22.0;0.0;1.0;1.0;0.0;0.0;0.0;22.0;1.0;1.0
1.0;True;6.0;18.0;2.0;0.0;9.0;0.0;1.0;1.0;0.0;0.0;1.8027756377319943;9.0;2.0;1.0
1.0;False;2.0;9.0;1.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;0.3779644730092273;7.0;1.1428571428571428;1.0
1.0;False;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;2.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;2.0;15.0;1.0;0.0;9.0;0.0;1.0;1.0;0.0;0.0;0.3755338080994054;13.0;1.1538461538461535;1.0
1.0;False;2.0;7.0;1.25;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.5;4.0;1.25;1.0
