NumberOfTryCatch;NumberOfAnonymousClasses;NumberOfLambdas;NumberOfComparisons;MaxNumberOfNestedBlocks;CBO;NumberOfInnerClasses;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;NumberOfStringLiterals;BuggedMethods;NumberOfParenthesizedExps;NumberOfLoops;NumberOfModifiers;NumberOfMathOperations;NumberOfAssignments;NumberOfUniqueWords;RFC;Returns;WMC_CK;LOCMethod_CK;NumberOfNumbers;NumberOfVariables
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;12.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;True;0.0;False;0.0;0.0;1.0;0.0;0.0;32.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;0.0;0.0;0.0;10.0;0.0;2.0;2.0;6.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;12.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;20.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;9.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;18.0;2.0;1.0;2.0;3.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;1.0;0.0;1.0;0.0;1.0;21.0;1.0;1.0;2.0;4.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;32.0;2.0;1.0;2.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;8.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;17.0;3.0;1.0;2.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;14.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;28.0;0.0;1.0;3.0;3.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;13.0;1.0;1.0;3.0;3.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;29.0;0.0;1.0;3.0;3.0;1.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;15.0;0.0;1.0;2.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;2.0;0.0;0.0;7.0;1.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;10.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;10.0;0.0;1.0;2.0;3.0;1.0;0.0
0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;2.0;0.0;1.0;2.0;2.0;7.0;1.0;1.0;3.0;6.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;12.0;0.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;2.0;3.0;1.0;0.0;1.0;0.0;False;0.0;False;1.0;1.0;2.0;2.0;4.0;45.0;7.0;0.0;4.0;15.0;4.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;9.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;11.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;11.0;0.0;0.0;1.0;3.0;0.0;0.0
