NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfAttributes;NumberOfAncestors;Bugged;NumberOfProtectedAttributes;NumberOfMethods_Mood;NumberOfCoupledClasses;Cohesion;NumberOfSubclasses;NumberOfPublicAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberOfPolymorphicMethods
0.0;0.0;0.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;9.0;0.0;False;9.0;11.0;0.0;0.18181818181818185;0.0;0.0;0.0;7.0;9.0
0.0;3.0;13.0;0.0;True;0.0;19.0;0.0;0.06578947368421052;0.0;10.0;0.0;17.0;16.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;8.0;0.0;False;7.0;11.0;0.0;0.13636363636363635;0.0;0.0;0.0;7.0;11.0
0.0;2.0;2.0;0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;True;0.0;6.0;0.0;0.25;0.0;0.0;0.0;2.0;6.0
0.0;0.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;1.0;1.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;6.0;6.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;1.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;0.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
0.0;3.0;3.0;0.0;False;0.0;13.0;0.0;0.0;0.0;0.0;0.0;13.0;13.0
