ClTCi;NOL;Bugged;NOA;NSM;RTLOC;ClRCi;PMd;NPF;NOD;NSF;TLOC
2.0;0.0;False;0.0;0.0;16.0;1.0;2.0;0.0;0.0;1.0;9.0
7.0;0.0;False;0.0;1.0;50.0;1.4;4.0;0.0;0.0;1.0;37.0
2.0;0.0;False;0.0;0.0;16.0;1.0;2.0;0.0;0.0;1.0;9.0
7.0;0.0;False;0.0;0.0;56.0;1.4;4.0;0.0;0.0;2.0;43.0
3.0;0.0;False;0.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;0.0;False;0.0;0.0;17.0;2.0;1.0;0.0;0.0;0.0;10.0
1.0;0.0;False;0.0;0.0;12.0;1.0;1.0;2.0;0.0;2.0;7.0
4.0;0.0;False;0.0;0.0;7.0;2.0;0.0;0.0;0.0;0.0;4.0
3.0;0.0;False;0.0;0.0;8.0;1.5;0.0;0.0;0.0;0.0;4.0
3.0;0.0;False;0.0;0.0;6.0;3.0;0.0;0.0;0.0;0.0;3.0
8.0;0.0;False;0.0;0.0;13.0;1.6;0.0;0.0;0.0;0.0;7.0
10.0;0.0;False;0.0;0.0;15.0;1.666666667;0.0;0.0;0.0;0.0;8.0
8.0;0.0;False;0.0;0.0;14.0;1.6;0.0;0.0;0.0;0.0;7.0
5.0;0.0;False;0.0;0.0;9.0;1.666666667;0.0;0.0;0.0;0.0;5.0
8.0;0.0;False;0.0;0.0;20.0;1.6;0.0;0.0;0.0;0.0;10.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.0;0.0;False;0.0;0.0;21.0;1.6;0.0;0.0;0.0;0.0;7.0
1.0;0.0;False;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;3.0
5.0;0.0;False;0.0;3.0;37.0;1.25;2.0;0.0;0.0;1.0;28.0
11.0;0.0;False;0.0;0.0;141.0;1.571428571;5.0;0.0;0.0;1.0;133.0
17.0;0.0;False;0.0;0.0;25.0;1.545454545;0.0;0.0;0.0;0.0;13.0
17.0;0.0;False;0.0;0.0;25.0;1.545454545;0.0;0.0;0.0;0.0;13.0
20.0;0.0;False;0.0;0.0;33.0;1.428571429;0.0;0.0;0.0;0.0;16.0
10.0;0.0;False;0.0;5.0;43.0;1.666666667;3.0;0.0;0.0;3.0;34.0
8.0;0.0;False;0.0;3.0;72.0;1.6;3.0;4.0;0.0;5.0;61.0
8.0;0.0;False;0.0;0.0;31.0;2.0;4.0;0.0;0.0;0.0;22.0
4.0;0.0;False;0.0;0.0;28.0;2.0;1.0;9.0;0.0;9.0;20.0
3.0;0.0;False;0.0;0.0;7.0;1.5;0.0;0.0;0.0;0.0;4.0
5.0;0.0;False;0.0;3.0;36.0;1.25;2.0;0.0;0.0;1.0;28.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
