WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
16.0;0.0;11.0;1.0;1.0;1.0;11.0;0.0;1.213559752433836;False;1.0;1.4545454545454546;0.0;5.0;1.0
6.0;0.0;4.0;1.0;1.0;1.0;0.0;0.0;0.5773502691896257;False;1.5;1.5;0.0;2.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
9.0;0.0;6.0;1.0;1.0;1.0;3.0;0.0;0.8164965809277259;False;1.5;1.6666666666666667;0.0;3.0;2.0
31.0;0.0;21.0;1.0;1.0;1.0;3.0;0.0;1.600595127415038;False;2.0;2.1904761904761907;0.0;6.0;2.0
102.0;0.0;44.0;1.0;1.0;1.0;4.0;0.0;3.8843617731588815;False;2.0;2.9318181818181817;0.0;21.0;3.0
2.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
4.0;0.0;3.0;1.0;1.0;1.0;3.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
6.0;0.0;6.0;1.0;1.0;1.0;6.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
11.0;0.0;11.0;1.0;1.0;1.0;0.0;0.0;0.6466697906828633;False;1.0;1.2727272727272727;0.0;3.0;1.0
88.0;0.0;43.0;1.0;1.0;1.0;11.0;0.0;2.4399771253216747;False;1.0;2.627906976744186;0.0;10.0;3.0
4.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
3.0;0.0;2.0;1.0;1.0;1.0;2.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
23.0;0.0;16.0;1.0;1.0;1.0;5.0;0.0;1.1086778913041726;False;1.0;1.8125;0.0;4.0;2.25
