WMC_CK_50%;WMC_CK_25%;WMC_CK_count;WMC_CK_75%;WMC_CK_std;NMIR;WMC_CK_mean;WMC_CK_min;NPM;DIT;WMC;NORM;NMI;NOCh;Bugged;WMC_CK_max
2.0;1.0;14.0;3.0;1.1673205911990772;0.0;2.142857142857143;1.0;6.0;1.0;22.0;0.0;0.0;0.0;False;4.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;6.0;1.0;22.0;0.0;0.0;0.0;False;1.0
1.0;1.0;12.0;2.25;1.7816403745544231;0.0;1.9166666666666667;1.0;12.0;1.0;21.0;0.0;0.0;0.0;True;7.0
3.5;3.25;2.0;3.75;0.7071067811865476;0.0;3.5;3.0;1.0;1.0;6.0;0.0;0.0;0.0;False;4.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;18.0;1.0;1.0966377611066325;0.0;1.5555555555555556;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;4.0
1.0;1.0;5.0;1.0;1.7888543819998322;0.0;1.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;5.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
9.0;5.0;3.0;9.0;4.618802153517007;0.0;6.333333333333332;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;9.0
1.5;1.0;10.0;2.0;0.5270462766947299;0.0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2.0
1.0;1.0;57.0;1.0;1.0133816437501344;0.0;1.2807017543859651;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;8.0
1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;1.0
1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;1.0
1.5;1.25;2.0;1.75;0.7071067811865476;0.0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0
1.0;1.0;9.0;1.0;0.33333333333333337;0.0;1.1111111111111112;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2.0
1.0;1.0;11.0;1.0;0.30151134457776363;0.0;1.0909090909090908;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0
1.0;1.0;14.0;1.0;0.3631365196012815;0.0;1.1428571428571428;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;1.0
1.0;1.0;24.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;6.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
1.5;1.25;2.0;1.75;0.7071067811865476;0.0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;7.0;2.0;0.7867957924694431;0.0;1.5714285714285714;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;3.0
1.0;1.0;4.0;1.25;0.5;0.0;1.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0
3.5;3.25;2.0;3.75;0.7071067811865476;0.0;3.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;4.0
1.0;1.0;3.0;1.5;0.5773502691896257;0.0;1.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.0
1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
1.0;1.0;27.0;1.5;1.5479054867825088;0.0;1.6296296296296295;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;8.0
10.0;10.0;1.0;10.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;False;10.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0
2.5;1.75;2.0;3.25;2.1213203435596424;0.0;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;4.0
1.0;1.0;11.0;2.5;1.4142135623730951;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;True;5.0
