VG;NCSSForThisFile;Fout;WMC_CK;NumberOfMathOperations;ClassDataAbstractionCoupling;NumberOfProtectedMethod;ClassFanOutComplexity;BuggedMethods;MethodLength;NumberOfPublicMethods_Checkstyle;ExecutableStatementCount;NCOMP;NumberOfMethods_Checkstyle;Di;IOVars;Ci;NestedIfElseDepth;MCLC;NBD;Fin;Maximum Depth;NumberOfPackageMethod;MaxNumberOfNestedBlocks;NestedForDepth;CyclomaticComplexity;NestedTryDepth;Si;NVAR;FileLength;NumberOfModifiers;ThrowsCount;NOP;NumberOfPrivateMethod;BooleanExpressionComplexity;AnonymousInnerClassLength;NCSSForThisClass;NCSSForThisMethod;NPathComplexity
1.0;9.0;0.0;1.0;0.0;1.0;0.0;1.0;False;4.0;2.0;1.0;0.0;2.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;36.0;9.0;0.0;1.0;0.0;0.0;0.0;6.0;2.0;1.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;4.0;0.0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0
0.0;31.0;0.0;1.0;0.0;2.0;0.0;4.0;False;14.0;3.0;6.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;79.0;9.0;1.0;0.0;0.0;0.0;0.0;20.0;7.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0
0.0;27.0;0.0;1.0;0.0;1.0;0.0;4.0;False;15.0;2.0;7.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;68.0;1.0;1.0;0.0;1.0;0.0;0.0;19.0;8.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;11.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;38.0;0.0;1.0;0.0;1.0;0.0;4.0;False;7.0;3.0;4.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;89.0;1.0;1.0;0.0;2.0;0.0;0.0;30.0;5.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;16.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;16.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;25.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;0.0;6.0;3.0;0.0;0.0;0.0;0.0;False;15.0;0.0;5.0;3.0;0.0;0.28571428600000004;2.0;36.285714286;0.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;36.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;6.0
1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;0.25;1.0;9.25;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
1.0;86.0;0.0;1.0;0.0;1.0;0.0;1.0;False;3.0;9.0;1.0;0.0;10.0;1.0;1.0;1.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;229.0;1.0;0.0;0.0;1.0;0.0;0.0;79.0;2.0;1.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;False;4.0;0.0;1.0;0.0;0.0;0.25;1.0;9.25;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
8.0;0.0;1.0;8.0;1.0;0.0;0.0;0.0;False;31.0;0.0;11.0;8.0;0.0;0.5;1.0;1.5;0.0;12.0;4.0;0.0;5.0;0.0;3.0;1.0;8.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;36.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;False;10.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;3.0;2.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
3.0;30.0;0.0;3.0;0.0;2.0;0.0;8.0;False;21.0;4.0;8.0;2.0;4.0;1.0;1.0;1.0;0.0;5.0;3.0;0.0;4.0;0.0;2.0;0.0;3.0;0.0;0.0;3.0;78.0;1.0;0.0;0.0;0.0;0.0;0.0;23.0;11.0;3.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;24.0;0.0;5.0;1.0;1.0;0.0;4.0;False;25.0;1.0;12.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;4.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;70.0;1.0;1.0;1.0;0.0;1.0;0.0;18.0;15.0;8.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;3.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
