WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
2.0;2.0;1.0;0.0;2.0;0.0;45.0;102.0;0.0;0.0;True;2.0;2.0;2.0;1.0;0.0
2.0;1.0;53.0;0.0;1.0;0.0;45.0;102.0;0.0;0.0;True;1.962264150943396;9.0;1.0;1.0;1.7092763218002682
1.0;1.0;6.0;0.0;1.0;0.0;6.0;7.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;3.0;0.0;1.0;0.0;3.0;4.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;8.0;0.0;1.0;0.0;8.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;4.0;0.0;1.0;0.0;4.0;7.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;41.0;0.0;1.0;0.0;41.0;49.0;0.0;0.0;False;1.0731707317073171;3.0;1.0;1.0;0.3457053588273564
1.0;1.0;7.0;0.0;1.0;0.0;7.0;15.0;0.0;0.0;True;1.8571428571428568;7.0;1.0;1.0;2.2677868380553634
1.0;1.0;8.0;0.0;1.0;0.0;8.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;28.0;0.0;1.0;0.0;28.0;39.0;0.0;0.0;False;1.0714285714285714;3.0;1.0;1.0;0.3779644730092272
1.0;1.0;4.0;0.0;1.0;0.0;4.0;4.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;25.0;0.0;1.0;0.0;25.0;28.0;0.0;0.0;False;1.08;3.0;1.0;1.0;0.4
1.0;1.0;28.0;0.0;1.0;0.0;28.0;35.0;0.0;0.0;True;1.25;7.0;1.0;1.0;1.1426091000668408
1.0;1.0;46.0;0.0;1.0;0.0;47.0;57.0;0.0;0.0;True;1.108695652173913;4.0;1.0;1.0;0.5261288760397955
1.0;1.0;1.0;0.0;1.0;0.0;47.0;57.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.75;1.0;10.0;0.0;1.0;0.0;10.0;16.0;0.0;0.0;False;1.6;4.0;1.0;1.0;1.0749676997731399
1.0;1.0;14.0;0.0;1.0;0.0;14.0;15.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;26.0;0.0;1.0;0.0;26.0;34.0;0.0;0.0;True;1.3461538461538465;4.0;1.0;1.0;0.7452413135250993
1.0;1.0;11.0;0.0;1.0;0.0;11.0;13.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;16.0;0.0;1.0;0.0;16.0;17.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.25;1.0;8.0;0.0;1.0;0.0;8.0;12.0;0.0;0.0;False;1.375;3.0;1.0;1.0;0.7440238091428449
5.0;1.0;4.0;0.0;2.5;0.0;3.0;13.0;0.0;0.0;False;3.5;8.0;1.0;1.0;3.3166247903554
1.0;1.0;31.0;0.0;1.0;0.0;31.0;42.0;0.0;0.0;True;1.1290322580645162;3.0;1.0;1.0;0.4994620762294149
1.0;1.0;8.0;0.0;1.0;0.0;8.0;10.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;6.0;6.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;16.0;0.0;1.0;0.0;16.0;16.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
2.0;1.0;53.0;0.0;1.0;0.0;49.0;81.0;0.0;0.0;True;1.8113207547169807;7.0;1.0;1.0;1.5449247401832196
1.0;1.0;7.0;0.0;1.0;0.0;49.0;81.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;21.0;0.0;1.0;0.0;21.0;24.0;0.0;0.0;True;1.1428571428571428;2.0;1.0;1.0;0.3585685828003181
1.0;1.0;3.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;18.0;0.0;1.0;0.0;18.0;21.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.75;1.0;6.0;0.0;1.0;0.0;6.0;14.0;0.0;0.0;False;2.1666666666666665;7.0;1.0;1.0;2.401388487243717
1.0;1.0;52.0;0.0;1.0;0.0;49.0;50.0;0.0;0.0;True;1.0769230769230769;3.0;1.0;1.0;0.3340866299625873
1.0;1.0;12.0;0.0;1.0;0.0;12.0;12.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;13.0;0.0;1.0;0.0;13.0;13.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;39.0;0.0;1.0;0.0;39.0;76.0;0.0;0.0;True;1.871794871794872;18.0;1.0;1.0;3.001574036011309
2.0;2.0;1.0;0.0;2.0;0.0;39.0;76.0;0.0;0.0;True;2.0;2.0;2.0;1.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;6.0;6.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;16.0;0.0;1.0;0.0;16.0;19.0;0.0;0.0;False;1.125;3.0;1.0;1.0;0.5
1.0;1.0;2.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.5;1.0;4.0;0.0;1.0;0.0;4.0;9.0;0.0;0.0;False;1.5;3.0;1.0;1.0;1.0
1.0;1.0;18.0;0.0;1.0;0.0;18.0;18.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;19.0;0.0;1.0;0.0;19.0;20.0;0.0;0.0;True;1.0526315789473684;2.0;1.0;1.0;0.2294157338705617
1.0;1.0;17.0;0.0;1.0;0.0;17.0;17.0;0.0;0.0;True;1.0588235294117647;2.0;1.0;1.0;0.24253562503633302
1.0;1.0;29.0;0.0;1.0;0.0;28.0;30.0;0.0;0.0;False;1.0689655172413792;3.0;1.0;1.0;0.3713906763541038
1.0;1.0;66.0;0.0;1.0;0.0;63.0;70.0;0.0;0.0;True;1.1515151515151516;3.0;1.0;1.0;0.43826315390937454
1.0;1.0;8.0;0.0;1.0;0.0;8.0;10.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;6.0;8.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;8.0;0.0;1.0;0.0;8.0;8.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;21.0;0.0;1.0;0.0;18.0;20.0;0.0;0.0;True;1.1904761904761905;2.0;1.0;1.0;0.4023739080814783
1.0;1.0;12.0;0.0;1.0;0.0;12.0;12.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;18.0;0.0;1.0;0.0;18.0;18.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;27.0;0.0;1.0;0.0;27.0;27.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;17.0;0.0;1.0;0.0;17.0;20.0;0.0;0.0;True;1.1176470588235294;2.0;1.0;1.0;0.3321055820775357
1.0;1.0;26.0;0.0;1.0;0.0;26.0;26.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;18.0;0.0;1.0;0.0;18.0;18.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;21.0;0.0;1.0;0.0;21.0;21.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;36.0;0.0;1.0;0.0;36.0;36.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;27.0;0.0;1.0;0.0;27.0;27.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;11.0;0.0;1.0;0.0;11.0;24.0;0.0;0.0;True;2.0;10.0;1.0;1.0;2.7202941017470885
1.0;1.0;26.0;0.0;1.0;0.0;26.0;28.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;10.0;0.0;1.0;0.0;10.0;10.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;70.0;0.0;1.0;0.0;66.0;85.0;0.0;0.0;True;1.3285714285714283;9.0;1.0;1.0;1.125738772841679
1.0;1.0;14.0;0.0;1.0;0.0;14.0;14.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;8.0;0.0;1.0;0.0;0.0;9.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
