LOCMethod_CK_min;LOCMethod_min;LOCMethod_count;NumberOfParameters_Designite_count;NumberOfParameters_Designite_75%;LOCMethod_50%;NumberOfParameters_Designite_std;LOCMethod_max;CyclomaticComplexity_Designite_count;LOCMethod_std;LOCMethod;CyclomaticComplexity_Designite_std;LOCMethod_CK_mean;CyclomaticComplexity_Designite_max;LOCMethod_CK_max;NumberOfParameters_Designite_50%;Bugged;CyclomaticComplexity_Designite_75%;LOCMethod_CK_50%;LOCMethod_CK_count;CyclomaticComplexity_Designite_min;NumberOfParameters_Designite_min;LOCMethod_CK_std;LOCMethod_25%;CyclomaticComplexity_Designite_25%;NumberOfParameters_Designite_25%;LOCMethod_mean;NumberOfParameters_Designite_mean;NumberOfParameters_Designite_max;LOCMethod_CK_75%;CyclomaticComplexity_Designite_50%;LOCMethod_CK_25%;LOCMethod_75%;CyclomaticComplexity_Designite_mean
1.0;0.0;13.0;13.0;3.0;0.0;3.4268921406413915;0.0;13.0;0.0;15.0;0.0;1.0;1.0;1.0;1.0;True;1.0;1.0;13.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.9230769230769234;12.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;7.0;7.0;1.0;0.0;0.3779644730092273;0.0;7.0;0.0;53.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;6.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8571428571428571;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;3.0;14.0;14.0;0.0;3.0;0.42581531362631997;13.0;14.0;2.6726124191242437;78.0;0.8017837257372732;4.214285714285714;4.0;13.0;0.0;False;1.0;3.0;14.0;1.0;0.0;3.14223270519966;3.0;1.0;0.0;3.7142857142857135;0.21428571428571427;1.0;3.0;1.0;3.0;3.0;1.2142857142857142
3.0;3.0;7.0;7.0;0.0;3.0;0.0;3.0;7.0;0.0;39.0;0.0;3.571428571428572;1.0;7.0;0.0;True;1.0;3.0;7.0;1.0;0.0;1.5118578920369092;3.0;1.0;0.0;3.0;0.0;0.0;3.0;1.0;3.0;3.0;1.0
1.0;0.0;24.0;24.0;1.0;0.0;0.5757792451369143;0.0;24.0;0.0;166.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;26.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.625;2.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;9.0;9.0;1.0;0.0;0.7071067811865476;0.0;9.0;0.0;12.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;10.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;2.0;1.0;1.0;1.0;0.0;1.0
3.0;3.0;9.0;9.0;0.0;3.0;0.0;3.0;9.0;0.0;43.0;0.0;3.0;1.0;3.0;0.0;False;1.0;3.0;9.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;0.0;0.0;3.0;1.0;3.0;3.0;1.0
1.0;0.0;8.0;8.0;1.0;0.0;0.4629100498862757;0.0;8.0;0.0;50.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;0.0;0.0;0.0;1.0;0.75;0.0;0.75;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;3.0;3.0;3.0;1.5;18.0;0.5773502691896257;49.0;3.0;23.459184413217212;82.0;4.725815626252608;23.33333333333333;10.0;49.0;1.0;False;6.5;18.0;3.0;1.0;1.0;23.459184413217212;10.5;2.0;1.0;23.33333333333333;1.3333333333333333;2.0;33.5;3.0;10.5;33.5;4.666666666666667
3.0;3.0;4.0;4.0;1.0;3.0;0.5773502691896257;3.0;4.0;0.0;31.0;0.0;3.0;1.0;3.0;0.5;True;1.0;3.0;4.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;0.5;1.0;3.0;1.0;3.0;3.0;1.0
3.0;3.0;5.0;5.0;6.0;12.0;2.8284271247461903;32.0;5.0;12.308533625091169;99.0;2.4899799195977463;11.714285714285715;6.0;32.0;5.0;False;5.0;6.0;7.0;1.0;1.0;10.781377242175289;3.0;1.0;1.0;14.0;4.0;7.0;16.0;1.0;4.5;20.0;2.8
3.0;3.0;1.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;13.0;0.0;3.0;1.0;3.0;0.0;False;1.0;3.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;0.0;0.0;3.0;1.0;3.0;3.0;1.0
1.0;0.0;4.0;4.0;6.25;0.0;3.2015621187164243;0.0;4.0;0.0;13.0;0.0;1.0;1.0;1.0;3.5;False;1.0;1.0;6.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;3.75;7.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;107.0;107.0;2.0;0.0;1.0398513247770702;0.0;107.0;0.0;262.0;0.0;1.0;1.0;1.0;1.0;True;1.0;1.0;123.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.2242990654205608;6.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;7.0;7.0;2.0;0.0;0.5345224838248488;0.0;7.0;0.0;41.0;0.0;1.0;1.0;1.0;2.0;False;1.0;1.0;6.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.5714285714285714;2.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;23.0;23.0;1.0;0.0;0.8148813536665076;0.0;23.0;0.0;43.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;21.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.8695652173913043;3.0;1.0;1.0;1.0;0.0;1.0
