NumberOfInheritedMethods;Cohesion;NumberOfPolymorphicMethods;NumberPublicMethods;Bugged;NumberOfAttributes;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfAncestors;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfCoupledClasses;NumberUserDefinedAttributes;NumberOfSubclasses
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;True;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3125;0.0;2.0;True;4.0;18.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.08636363636363636;2.0;3.0;True;28.0;22.0;0.0;0.0;1.0;27.0;0.0;0.0;0.0
0.0;0.0;6.0;6.0;False;6.0;6.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;0.15873015873015872;0.0;5.0;False;2.0;9.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;4.0;4.0;False;3.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.25;2.0;5.0;True;6.0;12.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.4444444444444444;3.0;2.0;False;2.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.2;10.0;10.0;False;5.0;10.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.18333333333333326;8.0;9.0;True;20.0;12.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
0.0;0.18333333333333326;8.0;9.0;True;20.0;12.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
0.0;0.18333333333333326;8.0;9.0;True;20.0;12.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.12301587301587301;63.0;63.0;False;32.0;63.0;0.0;0.0;0.0;32.0;0.0;0.0;0.0
0.0;0.0;3.0;3.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;1.0;False;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.07142857142857142;20.0;20.0;False;20.0;21.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
0.0;0.04428904428904429;31.0;31.0;False;37.0;39.0;0.0;0.0;4.0;33.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.15;7.0;7.0;False;4.0;8.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.35;4.0;3.0;False;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.35;4.0;3.0;False;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.35;4.0;3.0;False;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
