Bugged;MHF;MIF;Aa;AIF;AHF
False;0.958333333;0.0;2.0;0.0;0.0
False;0.909090909;0.0;5.0;0.0;0.4
False;0.5;0.0;0.0;0.0;0.0
False;0.909090909;0.0;4.0;0.0;0.5
False;0.666666667;0.0;4.0;0.0;0.0
False;0.9375;0.0;3.0;0.0;0.0
False;0.5;0.0;1.0;0.0;1.0
False;0.0;0.0;0.0;0.0;0.0
False;0.75;0.0;8.0;0.0;0.0
False;0.5;0.0;3.0;0.0;0.0
False;0.5;0.0;0.0;0.0;0.0
False;0.6875;0.0;9.0;0.0;0.333333333
False;0.6875;0.0;9.0;0.0;0.333333333
False;0.6875;0.0;9.0;0.0;0.333333333
False;0.6875;0.0;9.0;0.0;0.333333333
False;1.0;0.0;2.0;0.0;0.5
False;1.0;0.0;1.0;0.0;0.0
False;0.875;0.0;2.0;0.0;0.0
False;0.875;0.0;2.0;0.0;0.0
