NumberOfInheritedMethods;NumberOfSubclasses;NumberOfCoupledClasses;Bugged;NumberOfMethods_Mood;NumberUserDefinedAttributes;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfAncestors;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;Cohesion
0.0;0.0;1.0;False;4.0;1.0;0.0;3.0;0.0;3.0;0.0;3.0;4.0;0.4375
0.0;0.0;1.0;False;4.0;1.0;0.0;3.0;0.0;3.0;0.0;3.0;4.0;0.4375
0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;8.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;1.0;0.2604166666666667
0.0;0.0;0.0;False;8.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;1.0;0.2604166666666667
0.0;0.0;0.0;False;7.0;0.0;0.0;1.0;0.0;1.0;0.0;7.0;7.0;0.3809523809523809
0.0;0.0;0.0;True;73.0;0.0;3.0;32.0;0.0;35.0;0.0;70.0;70.0;0.03913894324853229
0.0;0.0;0.0;True;11.0;0.0;0.0;6.0;0.0;6.0;0.0;11.0;11.0;0.21212121212121213
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;True;8.0;0.0;3.0;1.0;0.0;4.0;0.0;1.0;1.0;0.375
0.0;0.0;0.0;False;27.0;0.0;0.0;8.0;0.0;8.0;0.0;24.0;24.0;0.2857142857142857
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.3333333333333333
0.0;0.0;0.0;False;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.3062200956937799
0.0;0.0;0.0;False;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.3062200956937799
0.0;0.0;0.0;False;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.3062200956937799
0.0;0.0;0.0;False;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.3062200956937799
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.5555555555555556
0.0;0.0;0.0;False;6.0;0.0;1.0;2.0;0.0;3.0;0.0;1.0;1.0;0.2619047619047619
0.0;0.0;1.0;False;5.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.3
0.0;0.0;1.0;False;5.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.3
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.5
0.0;0.0;0.0;False;4.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3181818181818182
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.75
0.0;0.0;0.0;False;5.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.4
0.0;0.0;0.0;False;1.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5833333333333334
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
0.0;0.0;0.0;False;9.0;0.0;0.0;5.0;0.0;5.0;0.0;7.0;0.0;0.4444444444444444
