RTLOC;NSM;Bugged;TLOC;NOD;ClRCi;ClTCi;NPF;NSF;NOA;NOL;PMd
326.0;1.0;False;162.0;0.0;1.5;48.0;0.0;1.0;0.0;0.0;28.0
326.0;1.0;False;162.0;0.0;1.5;48.0;0.0;1.0;0.0;0.0;28.0
326.0;1.0;False;162.0;0.0;1.5;48.0;0.0;1.0;0.0;0.0;28.0
99.0;2.0;False;52.0;0.0;1.794871795;23.333333333000002;0.0;1.0;0.0;0.0;12.0
12.0;1.0;False;12.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0
135.0;3.0;False;86.0;0.0;3.625;14.5;1.0;1.0;0.0;0.0;3.0
27.0;0.0;False;24.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0
10.0;1.0;False;8.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0
192.0;7.0;False;163.0;0.0;2.25;18.0;0.0;0.0;0.0;0.0;7.0
333.0;0.0;False;276.0;0.0;2.428571429;17.0;0.0;2.0;0.0;0.0;5.0
28.0;0.0;False;14.0;0.0;1.666666667;5.0;0.0;0.0;0.0;0.0;3.0
21.0;1.0;False;18.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0
47.0;1.0;False;36.0;0.0;1.142857143;8.0;5.0;5.0;0.0;0.0;6.0
13.0;0.0;False;10.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;2.0
44.0;5.0;False;37.0;0.0;3.1;15.5;0.0;1.0;0.0;0.0;4.0
16.0;1.0;False;14.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0
83.0;4.0;False;71.0;0.0;1.5;7.5;2.0;4.0;0.0;0.0;3.0
13.0;0.0;False;9.0;0.0;1.5;3.0;0.0;0.0;0.0;0.0;2.0
23.0;1.0;False;22.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37.0;0.0;False;27.0;0.0;1.666666667;10.0;0.0;0.0;0.0;0.0;6.0
20.0;1.0;False;17.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0
191.0;17.0;False;174.0;0.0;2.555555556;46.0;0.0;0.0;0.0;0.0;17.0
25.0;3.0;False;23.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;3.0
133.0;20.0;False;110.0;0.0;2.380952381;50.0;3.0;4.0;0.0;0.0;20.0
25.0;2.0;False;21.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;2.0
