DispersedCoupling_top;AntiSingleton;NumberOfDistinctOperators;Difficulty;DispersedCoupling_unique;DispersedCoupling_freq;Bugged;DispersedCoupling_count;NumberOfDistinctOperands
False;False;15.0;21.0;0.0;0.0;False;0.0;50.0
False;False;29.0;77.88571428571429;1.0;1.0;False;1.0;175.0
False;False;13.0;9.285714285714286;0.0;0.0;False;0.0;14.0
False;False;13.0;9.5;0.0;0.0;False;0.0;13.0
False;False;13.0;9.5;0.0;0.0;False;0.0;13.0
False;False;23.0;40.01041666666666;0.0;0.0;False;0.0;48.0
False;False;11.0;11.282051282051285;0.0;0.0;False;0.0;39.0
False;False;26.0;62.16831683168317;0.0;0.0;False;0.0;101.0
False;False;21.0;32.59701492537314;0.0;0.0;False;0.0;67.0
False;False;13.0;21.2183908045977;1.0;4.0;False;4.0;87.0
False;False;29.0;122.29100529100529;1.0;4.0;False;4.0;189.0
False;False;25.0;83.30696202531645;1.0;4.0;False;4.0;158.0
False;False;14.0;12.285714285714285;0.0;0.0;False;0.0;49.0
False;False;16.0;17.02127659574468;0.0;0.0;False;0.0;47.0
False;False;16.0;17.660377358490567;0.0;0.0;False;0.0;53.0
False;False;15.0;17.5;0.0;0.0;False;0.0;27.0
False;False;16.0;19.0;0.0;0.0;False;0.0;16.0
False;False;13.0;9.75;0.0;0.0;False;0.0;12.0
False;False;37.0;84.059375;1.0;2.0;False;2.0;160.0
False;False;15.0;24.140625;0.0;0.0;False;0.0;32.0
False;False;9.0;7.071428571428571;0.0;0.0;False;0.0;14.0
False;False;9.0;4.78125;0.0;0.0;False;0.0;16.0
False;False;37.0;75.09282700421942;1.0;4.0;False;4.0;237.0
False;False;37.0;75.09282700421942;0.0;0.0;False;0.0;237.0
False;False;35.0;63.260135135135144;1.0;2.0;False;2.0;148.0
False;False;32.0;54.69090909090909;1.0;2.0;False;2.0;110.0
False;False;32.0;58.689956331877724;1.0;2.0;False;2.0;229.0
False;False;10.0;8.25;0.0;0.0;False;0.0;20.0
False;False;10.0;7.75;0.0;0.0;False;0.0;20.0
False;False;22.0;28.84146341463415;1.0;1.0;False;1.0;82.0
False;False;19.0;23.33088235294117;0.0;0.0;False;0.0;68.0
False;False;9.0;8.224137931034482;0.0;0.0;False;0.0;29.0
False;False;26.0;62.9537037037037;0.0;0.0;False;0.0;108.0
False;False;19.0;26.91666666666667;0.0;0.0;False;0.0;42.0
False;False;23.0;34.88333333333333;0.0;0.0;False;0.0;60.0
False;False;28.0;33.40350877192982;0.0;0.0;False;0.0;57.0
False;False;27.0;37.171232876712324;0.0;0.0;False;0.0;73.0
False;False;32.0;48.35555555555555;0.0;0.0;False;0.0;90.0
False;False;30.0;45.398230088495566;1.0;1.0;False;1.0;113.0
False;False;27.0;45.76829268292683;1.0;1.0;False;1.0;82.0
False;False;32.0;44.34285714285714;0.0;0.0;False;0.0;70.0
False;False;27.0;39.5625;0.0;0.0;False;0.0;72.0
False;False;36.0;93.77622377622377;1.0;3.0;False;3.0;143.0
False;False;37.0;98.79513888888887;1.0;2.0;False;2.0;144.0
False;False;22.0;26.74137931034483;0.0;0.0;False;0.0;58.0
False;False;20.0;21.73076923076923;0.0;0.0;False;0.0;52.0
False;False;26.0;29.0;0.0;0.0;False;0.0;39.0
False;False;36.0;52.838709677419345;0.0;0.0;False;0.0;62.0
False;False;30.0;43.91891891891893;1.0;1.0;False;1.0;111.0
False;False;15.0;12.5;0.0;0.0;False;0.0;24.0
False;False;24.0;40.109589041095894;1.0;1.0;False;1.0;73.0
False;False;31.0;45.161870503597115;0.0;0.0;False;0.0;139.0
False;False;18.0;22.95;1.0;1.0;False;1.0;80.0
False;False;34.0;73.00507614213198;0.0;0.0;False;0.0;197.0
False;False;20.0;18.714285714285715;0.0;0.0;False;0.0;70.0
False;False;19.0;66.31;1.0;4.0;False;4.0;50.0
False;False;17.0;98.53703703703705;1.0;2.0;False;2.0;54.0
False;False;15.0;117.73584905660377;1.0;1.0;False;1.0;53.0
False;False;20.0;31.08108108108108;0.0;0.0;False;0.0;74.0
False;False;15.0;142.05223880597015;1.0;2.0;False;2.0;67.0
False;False;34.0;77.12429378531074;1.0;2.0;False;2.0;177.0
False;False;21.0;28.79032258064516;0.0;0.0;False;0.0;31.0
False;False;20.0;29.589041095890412;1.0;1.0;True;1.0;73.0
False;False;20.0;25.53191489361702;0.0;0.0;True;0.0;47.0
False;False;18.0;19.90384615384616;0.0;0.0;True;0.0;52.0
False;False;29.0;65.54;1.0;3.0;False;3.0;150.0
False;False;18.0;23.0;0.0;0.0;False;0.0;45.0
False;False;22.0;30.768115942028984;0.0;0.0;False;0.0;69.0
False;False;28.0;48.45390070921986;1.0;1.0;True;1.0;141.0
False;False;16.0;18.039215686274517;1.0;1.0;False;1.0;51.0
False;False;9.0;5.2105263157894735;0.0;0.0;False;0.0;19.0
False;False;17.0;19.63095238095238;1.0;1.0;False;1.0;42.0
False;False;34.0;67.61363636363636;0.0;0.0;True;0.0;132.0
False;False;27.0;46.00485436893204;1.0;1.0;False;1.0;103.0
False;False;15.0;18.308823529411768;0.0;0.0;False;0.0;34.0
False;False;15.0;23.0625;0.0;0.0;False;0.0;40.0
False;False;9.0;8.1;0.0;0.0;False;0.0;20.0
False;False;8.0;6.5;0.0;0.0;False;0.0;24.0
False;False;9.0;8.608695652173912;0.0;0.0;False;0.0;23.0
False;False;30.0;106.88571428571429;1.0;1.0;False;1.0;175.0
False;False;21.0;29.4;0.0;0.0;False;0.0;75.0
False;False;30.0;46.63366336633664;1.0;1.0;False;1.0;101.0
False;False;14.0;19.83333333333333;0.0;0.0;False;0.0;18.0
False;False;22.0;25.025;0.0;0.0;False;0.0;40.0
False;False;14.0;18.03030303030303;0.0;0.0;False;0.0;33.0
False;False;21.0;23.21052631578948;1.0;1.0;False;1.0;38.0
False;False;32.0;51.248120300751886;1.0;2.0;False;2.0;133.0
False;False;11.0;10.185185185185183;0.0;0.0;False;0.0;27.0
False;False;9.0;8.7;0.0;0.0;False;0.0;15.0
False;False;15.0;13.75;0.0;0.0;False;0.0;24.0
False;False;22.0;24.518072289156628;1.0;2.0;False;2.0;83.0
